Qm,deb_a,tin_a,tout_a,v,Re,alpha,deb_w,tin_w,tout_w,v_w,Re_w,alpha_w
kilowatt,kilogram / second,degC,degC,meter / second,dimensionless,watt / kelvin / meter ** 2,liter / minute,degC,degC,meter / second,dimensionless,watt / kelvin / meter ** 2
44.1+/-2.3,1.160+/-0.010,17.68+/-0.14,55.52+/-0.11,4.83+/-0.05,1426.5+/-12.7,62.1+/-0.7,316.0+/-1.0,90.44+/-0.15,88.39+/-0.15,0.9818+/-0.0031,9886.4+/-33.3,9694.2+/-27.4
56.8+/-1.5,1.540+/-0.010,17.72+/-0.11,54.30+/-0.11,6.40+/-0.05,1896.4+/-12.5,82.5+/-0.7,316.0+/-1.0,88.80+/-0.10,86.15+/-0.10,0.9818+/-0.0031,9679.6+/-31.5,9597.0+/-26.9
68.1+/-2.3,2.115+/-0.014,17.44+/-0.12,49.18+/-0.10,8.71+/-0.06,2621.0+/-17.5,92.6+/-0.9,316.0+/-1.0,89.04+/-0.15,85.84+/-0.15,0.9818+/-0.0031,9675.9+/-32.6,9595.3+/-27.2
78.6+/-2.4,2.331+/-0.013,17.88+/-0.27,50.99+/-0.11,9.64+/-0.06,2881.6+/-15.5,110.2+/-1.2,316.0+/-1.0,89.25+/-0.16,85.55+/-0.16,0.9818+/-0.0031,9671.6+/-32.9,9593.2+/-27.3
89.2+/-4.2,2.736+/-0.017,17.62+/-0.14,50.04+/-0.16,11.29+/-0.08,3386.4+/-20.8,126.3+/-1.5,316.0+/-1.0,89.36+/-0.28,85.21+/-0.28,0.9818+/-0.0031,(9.66+/-0.04)e+03,9587.4+/-28.5
98.1+/-1.8,3.102+/-0.013,17.48+/-0.30,48.70+/-0.12,12.77+/-0.07,3846.6+/-15.8,139.0+/-1.6,316.0+/-1.0,88.62+/-0.11,84.02+/-0.11,0.9818+/-0.0031,9556.7+/-31.4,9538.0+/-26.9
108.3+/-4.1,3.50+/-0.04,17.60+/-0.27,48.01+/-0.22,14.39+/-0.17,(4.34+/-0.05)e+03,151.9+/-3.0,316.0+/-1.0,89.10+/-0.27,84.00+/-0.27,0.9818+/-0.0031,(9.58+/-0.04)e+03,9549.8+/-28.3
111.4+/-1.6,3.590+/-0.020,17.00+/-0.10,47.75+/-0.11,14.75+/-0.09,4460.2+/-25.0,156.4+/-1.4,316.0+/-1.0,89.30+/-0.10,84.10+/-0.10,0.9818+/-0.0031,9597.1+/-31.3,9557.5+/-26.9
28.5+/-2.3,0.776+/-0.011,17.90+/-0.10,53.82+/-0.10,3.23+/-0.05,956.3+/-13.1,38.3+/-0.6,370.0+/-1.0,89.83+/-0.13,88.68+/-0.13,1.1496+/-0.0031,11555.2+/-33.2,11109.6+/-26.4
44.9+/-1.8,1.157+/-0.010,17.62+/-0.11,55.86+/-0.10,4.82+/-0.05,1422.2+/-12.8,63.8+/-0.7,370.0+/-1.0,89.50+/-0.10,87.70+/-0.10,1.1496+/-0.0031,11474.1+/-32.2,11074.3+/-26.1
60.1+/-2.2,1.548+/-0.011,17.92+/-0.14,56.31+/-0.14,6.46+/-0.05,1900.5+/-13.0,85.6+/-0.9,370.0+/-1.0,90.66+/-0.12,88.26+/-0.12,1.1496+/-0.0031,11581.5+/-33.1,11120.9+/-26.3
(7.1+/-6.8)e+01,2.102+/-0.023,17.5+/-0.6,50.9+/-11.2,8.69+/-0.19,(2.60+/-0.05)e+03,(1.0+/-0.5)e+02,370.0+/-1.0,89.4+/-3.8,86.6+/-3.8,1.1496+/-0.0031,(1.140+/-0.034)e+04,(1.104+/-0.015)e+04
81.6+/-22.6,2.345+/-0.029,17.5+/-0.6,51.6+/-1.0,9.70+/-0.12,(2.90+/-0.04)e+03,112.2+/-6.3,370.0+/-1.0,89.8+/-1.3,86.4+/-1.3,1.1496+/-0.0031,(1.141+/-0.012)e+04,(1.105+/-0.006)e+04
90.8+/-3.1,2.707+/-0.011,17.60+/-0.10,50.59+/-0.11,11.18+/-0.06,3348.1+/-14.0,126.4+/-1.0,370.0+/-1.0,89.43+/-0.17,85.78+/-0.17,1.1496+/-0.0031,11350.3+/-34.3,11019.8+/-26.7
100.4+/-11.5,3.11+/-0.08,17.50+/-0.10,49.1+/-0.4,12.79+/-0.32,(3.85+/-0.10)e+03,141.3+/-5.1,370.0+/-1.0,88.2+/-0.6,84.2+/-0.6,1.1496+/-0.0031,(1.118+/-0.006)e+04,(1.094+/-0.004)e+04
112.0+/-3.8,3.495+/-0.018,17.50+/-0.16,48.98+/-0.11,14.40+/-0.09,4332.6+/-22.8,159.4+/-1.6,370.0+/-1.0,88.44+/-0.23,83.94+/-0.19,1.1496+/-0.0031,(1.117+/-0.004)e+04,10940.7+/-27.0
At_a,14.593307451902584,meter ** 2
Ac_a,0.2178018695216778,meter ** 2
At_w,5.399814000000001,meter ** 2
Ac_a,0.005364240000000001,meter ** 2
